,0,1,2
238,Connecticut Association for Human Services,75.0,2
239,United Way of West Central Connecticut,80.54,3
240,Connecticut Audubon Society,99.14,4
241,Jewish Federation of Greater Hartford,87.98,3
242,Channel 3 Kids Camp,68.15,1
243,The Bushnell,86.81,3
244,Wakeman Boys & Girls Club,85.43,3
245,Middlesex United Way,81.86,3
246,"Junior Achievement of Southwest New England, Inc.",81.23,3
247,Connecticut Humane Society,76.69,2
248,The Mark Twain House & Museum,71.47,2
249,Ridgefield Library Association,80.18,3
250,Hartford Foundation for Public Giving,83.81,3
251,Save the Children,88.83,3
252,Earthplace,75.04,2
253,Connecticut Public Broadcasting,88.11,3
254,United Way of Southeastern Connecticut,93.85,4
255,Connecticut Landmarks,97.18,4
256,Hartford Stage,94.0,4
257,"Christian Community Action, Connecticut",85.64,3
258,Valley United Way,79.12,2
259,Nutmeg Big Brothers Big Sisters,89.25,3
260,The Carver Foundation of Norwalk,92.5,4
261,United Way of Coastal Fairfield County,81.61,3
262,"FOCUS (Fellowship of Christians in Universities and Schools, Inc.)",98.31,4
263,Denison Pequotsepos Nature Center,66.38,1
264,"United Jewish Federation of Greater Stamford, New Canaan and Darien",69.88,1
265,Our Piece of the Pie,87.5,3
266,Connecticut Legal Services,78.38,2
267,Women's Center of Greater Danbury,86.06,3
268,"High Hopes Therapeutic Riding, Inc.",79.89,2
269,Save the Sound,88.91,3
270,Federation for Jewish Philanthropy of Upper Fairfield County,92.2,4
271,Americares,94.09,4
272,Kids In Crisis,84.28,3
273,Life-Study Fellowship,70.0,2
274,Riverfront Recapture,86.0,3
275,Stamford Center for the Arts,92.13,4
276,Warner Theatre,87.14,3
277,The Cornelia de Lange Syndrome Foundation,97.5,4
278,Connecticut Food Bank,87.1,3
279,Community Foundation of Eastern Connecticut,96.13,4
280,Jewish Family Service of Stamford,76.7,2
281,Haitian Health Foundation,100.0,4
282,Pacific House,87.72,3
283,The Hole in the Wall Gang Fund,83.52,3
284,Habitat for Humanity of New Haven Inc,85.93,3
285,Habitat for Humanity of Southeastern Connecticut Inc,92.58,4
286,Connecticut Cancer Foundation,77.96,2
287,Hartford Area Habitat for Humanity,87.5,3
288,Operation Fuel,87.5,3
289,SoundWaters,83.49,3
290,Gifts of Love,83.08,3
291,The Connecticut Forum,70.23,2
292,United States Coast Guard Academy Alumni Association,85.97,3
293,Bridgeport Rescue Mission,72.1,2
294,New Britain Museum of American Art,85.65,3
295,Person-to-Person,86.73,3
296,Connecticut Voices for Children,85.75,3
297,"ECAD, Educated Canines Assisting with Disabilities",87.28,3
298,REACH Prep,100.0,4
299,International Festival of Arts & Ideas,90.24,4
300,Community Crusade for Children,74.71,2
301,Breast Cancer Alliance,89.82,3
302,Horizons National,91.07,4
303,Community Foundation of Middlesex County,65.95,1
304,The Multiple Myeloma Research Foundation,94.7,4
305,Mill River Park Collaborative,92.73,4
306,First Tee of Connecticut,78.08,2
307,All Our Kin,91.47,4
308,CAPA New Haven,95.27,4
309,Greenwich Library,90.8,4
310,Boys & Girls Clubs of Hartford,85.55,3
311,Connecticut Historical Society,75.7,2
312,Greenwich Historical Society,89.62,3
313,Regional YMCA of Western Connecticut,76.45,2
314,Fidelco Guide Dog Foundation,73.75,2
315,Florence Griswold Museum,78.84,2
316,Urban League of Greater Hartford,78.22,2
317,UJA Federation of Greenwich,80.84,3
318,Neighbor to Neighbor,98.75,4
319,Long Wharf Theatre,75.12,2
320,Stamford Symphony Orchestra,86.33,3
321,Keep America Beautiful,83.38,3
322,National Rowing Foundation,83.14,3
323,HonorBound Foundation,0.0,0
324,National Organization for Rare Disorders,100.0,4
325,Friends of Animals,85.09,3
326,Intercollegiate Studies Institute,94.04,4
327,Special Olympics Delaware,80.91,3
328,Serviam Girls Academy,67.43,1
329,Jewish Federation of Delaware,95.47,4
330,"Boy Scouts of America, Del-Mar-VA Council",85.78,3
331,Delaware Art Museum,84.95,3
332,Boys & Girls Clubs of Delaware,88.19,3
333,Hagley Museum and Library,91.05,4
334,Sunday Breakfast Mission,51.43,0
335,United Way of Delaware,79.34,2
336,Junior Achievement of Delaware,73.9,2
337,Delaware Humane Association,89.23,3
338,Delaware Museum of Natural History,88.59,3
339,The Grand Opera House,86.95,3
340,Ministry of Caring,88.08,3
341,Food Bank of Delaware,88.02,3
342,Tri-State Bird Rescue & Research,82.8,3
343,Habitat for Humanity of New Castle County Inc,87.5,3
344,Ronald McDonald House of Delaware,83.13,3
345,Interfaith Community Housing of Delaware,92.5,4
346,Reading Assist Institute,92.5,4
347,Faithful Friends Animal Society,92.41,4
348,The Delaware Symphony Orchestra,82.2,3
349,Delaware Nature Society,97.92,4
350,Council of Independent Colleges,86.83,3
351,Rock the Vote,87.5,3
352,Polaris,84.5,3
353,Citizens for Responsibility and Ethics in Washington,85.4,3
354,Educando by Worldfund,87.65,3
355,Salzburg Global Seminar,68.81,1
356,Institute on Taxation and Economic Policy,99.82,4
357,Center for Arms Control and Non-Proliferation,91.4,4
358,Families USA Foundation,73.44,2
359,Land Trust Alliance,80.74,3
360,WAND Education Fund,62.27,1
361,SADD - Students Against Destructive Decisions,72.42,2
362,EarthRights International,99.54,4
363,The Campaign Legal Center,87.41,3
364,Theodore Roosevelt Conservation Partnership,89.08,3
365,Sabin Vaccine Institute,89.17,3
366,Partnership for Public Service,87.96,3
367,JASS (Just Associates),86.35,3
368,United Palestinian Appeal,92.5,4
369,International Center for Journalists,93.44,4
370,American Psychiatric Association Foundation,80.31,3
371,Carnegie Endowment for International Peace,89.59,3
372,EngenderHealth,70.7,2
373,YWCA USA,94.52,4
374,UNCF,82.5,3
375,National Council of Jewish Women,72.14,2
376,National Immigration Forum,95.86,4
377,NAFSA: Association of International Educators,74.35,2
378,Hudson Institute,95.72,4
379,Paralyzed Veterans of America,62.2,1
380,SIECUS,80.78,3
381,Robert F. Kennedy Human Rights,74.26,2
382,Action on Smoking and Health,76.11,2
383,National Coalition Supporting Eurasian Jewry,82.02,3
384,National Center for Learning Disabilities,94.51,4
385,The Philanthropy Roundtable,87.5,3
386,Group of Thirty,88.01,3
387,People For the American Way Foundation,90.81,4
388,World Environment Center,71.27,2
389,InterAction,77.5,2
390,Americans for Peace Now,70.07,2
391,Covenant House Washington,92.38,4
392,Asian Americans Advancing Justice - AAJC Inc.,90.11,4
393,Earth Day Network,98.11,4
394,Council for a Strong America,89.45,3
395,World Food Program USA,79.6,2
396,Foundation for Defense of Democracies,94.51,4
397,Friends of the National World War II Memorial,70.0,2
398,Animal Welfare Institute,99.99,4
399,SOS Children's Villages-USA,66.01,1
400,The Fund for American Studies,81.34,3
401,Active Minds,88.66,3
402,Excelencia in Education,96.47,4
403,State Voices,97.5,4
404,Environmental Integrity Project,82.06,3
405,Voto Latino,83.0,3
406,Securing America's Future Energy (SAFE),67.62,1
407,White Ribbon Alliance,99.88,4
408,UNRWA USA National Committee,90.0,4
409,J Street Education Fund,82.5,3
410,Oil Change International,97.5,4
411,Institute for Free Speech,97.5,4
412,ecoAmerica,73.34,2
413,The Sunlight Foundation,80.24,3
414,Clarion Project,80.62,3
415,Out Teach,79.87,2
416,Initiative for Global Development,66.27,1
417,Center for a New American Security,87.83,3
418,The Sentry,100.0,4
419,The National Security Archive,90.0,4
420,Chorus America,72.78,2
421,Sons of Italy Foundation,77.2,2
422,CLASP,93.48,4
423,Leadership Conference Education Fund,99.74,4
424,The NEA Foundation,85.92,3
425,Physicians for Social Responsibility,88.22,3
426,SOME (So Others Might Eat),94.51,4
427,Africare,72.5,2
428,Center for Science in the Public Interest,76.24,2
429,National Partnership for Women & Families,81.64,3
430,ULI Foundation,95.29,4
431,Federation of American Scientists,94.97,4
432,Food Research & Action Center,88.72,3
433,Ocean Conservancy,92.57,4
434,Judge David L. Bazelon Center for Mental Health Law,79.67,2
435,National Academy of Engineering Fund,75.45,2
436,American Rivers,88.57,3
437,National Family Planning & Reproductive Health Association,80.54,3
438,The Heritage Foundation,75.98,2
439,Greater Washington Community Foundation,90.0,4
440,Sojourners,81.27,3
441,Institute for Local Self-Reliance,93.03,4
442,The Supreme Court Historical Society,83.66,3
443,Friends of the Earth,88.65,3
444,Cato Institute,88.85,3
445,Education Writers Association,90.5,4
446,National Wildlife Refuge Association,74.14,2
447,Center For Consumer Freedom,85.0,3
448,Institute for the Study of War,70.72,2
449,Barbara Bush Foundation for Family Literacy,79.37,2
450,Autistic Self Advocacy Network,89.1,3
451,American Wind Wildlife Institute,89.7,3
452,Center for the National Interest,72.0,2
453,Capital Area Food Bank Foundation,86.87,3
454,National Skills Coalition,100.0,4
455,GlobalGiving,97.5,4
456,Center for American Progress,91.42,4
457,"Friends of the Global Fight Against AIDS, Tuberculosis, and Malaria",89.55,3
458,Muslim Advocates,83.74,3
459,Center for Urban Renewal and Education,85.31,3
460,American Youth Policy Forum,97.96,4
461,Common Cause Education Fund,94.54,4
462,Venture Philanthropy Partners,87.5,3
463,National College Attainment Center,95.0,4
464,Center for Health and Gender Equity,100.0,4
465,BBYO,84.87,3
466,Food and Water Watch,78.36,2
467,Franciscan Foundation for the Holy Land,99.57,4
468,Sixth & I,86.29,3
469,The American Congress of Obstetricians and Gynecologists,79.92,2
470,Rail Passengers Association,95.44,4
471,Pax Christi USA,90.95,4
472,Urban Libraries Council,73.88,2
473,The Federalist Society for Law and Public Policy Studies,100.0,4
474,Jamestown Foundation,85.55,3
475,Association for Enterprise Opportunity,95.92,4
476,Americans United for Life,74.77,2
477,United States Soccer Foundation,87.37,3
478,League of American Bicyclists,73.94,2
479,The Israel Project,71.15,2
480,Women's Media Center,89.45,3
481,Association of Performing Arts Professionals,82.5,3
482,Thurgood Marshall College Fund,89.94,3
483,National Center for Transgender Equality,94.1,4
484,National Abortion Federation,97.5,4
485,Lupus Foundation of America,73.1,2
486,Center for Disaster Philanthropy,97.5,4
487,Global Foundation for Democracy and Development,72.82,2
488,Humanist Foundation,90.08,4
489,Media Matters for America,76.19,2
490,Bread for the World Institute,88.43,3
491,Prison Fellowship International,77.14,2
492,Oceana,94.24,4
493,The Atlantic Council of the United States,92.09,4
494,African Wildlife Foundation,78.95,2
495,Institute for Policy Studies,94.0,4
496,AARP Foundation,83.95,3
497,AAA Foundation for Traffic Safety,90.0,4
498,United States Capitol Historical Society,85.13,3
499,Lawyers' Committee for Civil Rights Under Law,96.32,4
500,PAI,99.22,4
501,Neighborhood Legal Services Program,85.0,3
502,Anera,80.0,3
503,Center for Community Change,87.3,3
504,Special Olympics,91.84,4
505,Children's Defense Fund,74.65,2
506,Choral Arts,83.95,3
507,Environmental Law Institute,91.72,4
508,NPR,77.87,2
509,Community Family Life Services,92.1,4
510,German Marshall Fund of the US,89.03,3
511,Ayuda,92.5,4
512,Reporters Committee for Freedom of the Press,91.31,4
513,Reading Is Fundamental,84.48,3
514,Jubilee Housing,78.6,2
515,N Street Village,97.5,4
516,Alliance for Justice,91.81,4
517,Iona Senior Services,99.85,4
518,Clean Water Fund,89.01,3
519,National Building Museum,80.13,3
520,"House of Ruth, Washington, D.C.",87.5,3
521,Woodrow Wilson International Center for Scholars,86.13,3
522,Washington Legal Foundation,86.28,3
523,The National Italian American Foundation,83.68,3
524,Truman Center for National Policy,59.43,1
525,National Women's Health Network,92.45,4
526,International Center for Research on Women,81.92,3
527,Alliance to Save Energy,61.34,1
528,National Park Foundation,74.09,2
529,National Low Income Housing Coalition,97.5,4
530,NARAL Pro-Choice America Foundation,95.0,4
531,U.S. Navy Memorial Foundation,60.45,1
532,ZERO TO THREE,97.5,4
533,Washington Bach Consort,83.32,3
534,Educational Fund to Stop Gun Violence,83.59,3
535,Whitman-Walker Health,79.38,2
536,National Taxpayers Union Foundation,96.78,4
537,"Ronald McDonald House Charities® of Greater Washington, DC",79.72,2
538,FAIR Federation for American Immigration Reform,99.0,4
539,Studio Theatre Inc.,88.8,3
540,Bread for the City,89.97,3
541,The Ellington Fund ,61.3,1
542,Catholics for Choice,90.0,4
543,Congressional Black Caucus Foundation,89.23,3
544,Ethics and Public Policy Center,88.13,3
545,Capital Area Food Bank,86.87,3
546,Advocates for Youth,87.96,3
547,Martha's Table,88.4,3
548,Farmworker Justice Fund Inc.,81.52,3
549,National Women's Law Center,99.68,4
550,Religious Coalition for Reproductive Choice,87.27,3
551,The Woodson Center,71.41,2
552,Refugees International,94.82,4
553,National Center for Public Policy Research,59.82,1
554,Peterson Institute for International Economics,81.88,3
555,March for Life,81.65,3
556,"Aga Khan Foundation, USA",94.68,4
557,Jewish Institute for National Security of America,95.62,4
558,Center on Budget and Policy Priorities,93.07,4
559,American Forest Foundation,94.91,4
560,National Museum of Women in the Arts,87.27,3
561,National Right to Life Educational Trust Fund,85.39,3
562,Gay Men's Chorus of Washington D.C.,73.28,2
563,Washington Office on Latin America,81.66,3
564,Dance/USA,87.76,3
565,FCNL Education Fund,71.57,2
566,Center for the Study of Social Policy,85.41,3
567,World Resources Institute,97.5,4
568,Friends of the National Arboretum,76.51,2
569,My Sister's Place,98.98,4
570,Public Citizen Foundation,90.01,4
571,Environmental and Energy Study Institute,92.84,4
572,National Defense University Foundation,75.38,2
573,Business Executives for National Security,92.59,4
574,Center for Responsive Politics,88.46,3
575,Brady,74.81,2
576,Capital Research Center,75.1,2
577,National Council on US-Arab Relations,92.27,4
578,The Equal Rights Center,72.44,2
579,National Alliance to End Homelessness,93.76,4
580,Calvary Women's Services,82.95,3
581,United States Holocaust Memorial Museum,86.17,3
582,American Institute for Contemporary German Studies,85.82,3
583,Miriam's Kitchen,85.0,3
584,Government Accountability Project,86.01,3
585,Competitive Enterprise Institute,68.36,1
586,Beyond Pesticides,85.0,3
587,Christ House,92.09,4
588,Citizens Against Government Waste,70.43,2
589,Share Our Strength,77.87,2
590,Economic Policy Institute,93.33,4
591,The Washington Institute for Near East Policy,88.67,3
592,League of Conservation Voters Education Fund,95.0,4
593,National Law Enforcement Officers Memorial Fund,60.0,1
594,Higher Achievement,69.88,1
595,National Fish and Wildlife Foundation,88.14,3
596,Physicians Committee for Responsible Medicine,84.5,3
597,Shakespeare Theatre Company,84.32,3
598,Selous Foundation for Public Policy Research,42.5,0
599,Samaritan Ministry of Greater Washington,80.18,3
600,Rails-To-Trails Conservancy,82.77,3
601,Center for International Policy,80.81,3
602,Center for Immigration Studies,98.04,4
603,Committee For A Constructive Tomorrow,66.55,1
604,Equal Justice Works,93.91,4
605,The Sentencing Project,93.9,4
606,"Samaritan Inns, Inc.",99.8,4
607,Human Rights Campaign Foundation,78.84,2
608,Thrive DC,77.5,2
609,Support Our Aging Religious,96.74,4
610,International Labor Rights Forum,82.54,3
611,Youth Service America,67.22,1
612,The Center for Strategic and International Studies,77.55,2
613,FreedomWorks Foundation,74.42,2
614,Herbie Hancock Institute of Jazz,86.25,3
615,Institute for Women's Policy Research,91.24,4
616,American Immigration Council,93.42,4
617,EARTHWORKS,97.5,4
618,International Campaign for Tibet,68.01,1
619,Violence Policy Center,90.0,4
620,D.C. Bar Pro Bono Center,88.4,3
621,National Minority AIDS Council,92.51,4
622,D.C. Central Kitchen,80.6,3
623,Rebuilding Together,94.62,4
624,Dc Habitat for Humanity Inc,82.71,3
625,Mary's Center,85.0,3
626,Center for Individual Rights,90.0,4
627,Center for Security Policy,82.5,3
628,Armenian Assembly of America,82.79,3
629,The American Prospect,71.71,2
630,American Israel Education Foundation,79.4,2
631,National LGBTQ Task Force,71.75,2
632,Safe Kids Worldwide,80.0,3
633,Center for International Environmental Law (CIEL),87.5,3
634,National Homelessness Law Center,76.55,2
635,Food & Friends,84.02,3
636,International Women's Media Foundation,91.8,4
637,Environmental Investigation Agency,87.83,3
638,Green America,90.67,4
639,USA for UNHCR,69.54,1
640,Congressional Sportsmen's Foundation,73.61,2
641,World Wildlife Fund,72.47,2
642,Society for Women's Health Research,77.8,2
643,Bright Beginnings,93.8,4
644,The National Council for Science and the Environment,56.78,1
645,Solar Electric Light Fund,77.5,2
646,Tax Foundation,78.32,2
647,AIDS United,92.05,4
648,Academy of Hope Adult Public Charter School,81.3,3
649,Center for Justice and International Law,93.2,4
650,Project On Government Oversight,96.41,4
651,Families Against Mandatory Minimums Foundation,100.0,4
652,Center for Mind-Body Medicine,88.78,3
653,Faith and Politics Institute,71.75,2
654,Humane Society International,79.37,2
655,First Book,82.5,3
656,National Breast Cancer Coalition Fund,80.13,3
657,Washington Lawyers' Committee for Civil Rights and Urban Affairs,88.01,3
658,National Archives Foundation,71.7,2
659,Family Research Council,78.98,2
660,Alaska Wilderness League,76.74,2
661,Inter-American Dialogue,85.88,3
662,LGBTQ Victory Institute,79.5,2
663,Women for Women International,73.01,2
664,Diabetes Research and Wellness Foundation,62.5,1
665,The Lambi Fund of Haiti,71.72,2
666,Hillel: The Foundation for Jewish Campus Life,88.17,3
667,Center for Education Reform,78.02,2
668,Men's Health Network,90.0,4
669,United States-Indonesia Society,60.14,1
670,Jobs with Justice,91.52,4
671,Judicial Watch,77.22,2
672,"Rape, Abuse & Incest National Network",95.0,4
673,The Center for Democracy & Technology,83.71,3
674,DEA Educational Foundation,82.5,3
675,American Association of People with Disabilities,87.77,3
676,Center for Strategic and Budgetary Assessments,84.75,3
677,Pinchot Institute for Conservation,70.38,2
678,Urban Alliance,92.5,4
679,Taxpayers for Common Sense,96.36,4
680,International Christian Concern,86.65,3
681,Center for Inspired Teaching,92.5,4
682,Campaign for Tobacco-Free Kids,100.0,4
683,KABOOM!,85.42,3
684,Institute for America's Future,85.0,3
685,National Network to End Domestic Violence,95.0,4
686,Power to Decide,90.0,4
687,Marijuana Policy Project Foundation,58.1,1
688,Smith Center for Healing and the Arts,80.41,3
689,Friends of Cancer Research,83.6,3
690,Americans for the Arts,89.13,3
691,Opera Lafayette,85.28,3
692,Every Voice Center,73.9,2
693,PeerForward,70.27,2
694,Fonkoze USA,75.18,2
695,Washington Area Women's Foundation,86.6,3
696,Animal Outlook,90.0,4
697,American Center for Law and Justice - District of Columbia,77.22,2
698,Constitutional Accountability Center,85.75,3
699,The Middle East Media Research Institute,87.01,3
700,Cultural Landscape Foundation,90.32,4
701,New America,92.21,4
702,American Federation for Children Growth Fund,87.5,3
703,IMA World Health,75.0,2
704,Sitar Arts Center,83.88,3
705,District of Columbia College Access Program,94.82,4
