,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
10,"McWane Science Center's mission is to “change lives through science and wonder.” To accomplish this mission, McWane Science Center combines our unique assets to create unique, hands-on, science-learning experiences that parents and teachers value and kids love. This state-of-the-art museum is housed in the historic and refurbished Loveman's department store building. In 1998, Discovery Place and Red Mountain Museum merged to create a stimulating interactive science museum now called McWane Science Center. Designed to inspire a life-long love of learning, McWane Science Center has welcomed millions of visitors since opening its doors in 1998. Explorers - from ages one to 100 - flock year-round to see, to hear, to touch, and to experience the wonder of science in one of the South's most unique venues.",Changing lives through science and wonder,McWane Science Center,"Arts, Culture, Humanities",2,Museums,3,Birmingham,AL,35203,88.11,3,,89,3,"Arts, Culture and Humanities",Educational Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Children's Museums,Contributions are deductible,501(c)(3),12247398.0,8493093.0,87.29,3
11,"Red Mountain Theatre Company's mission is to create powerful theatre experiences that enrich, educate, and engage audiences - nourishing the human spirit, fostering valuable life skills, and cultivating a deeper sense of community.",Enrich. Educate. Engage.,Red Mountain Theatre Company,"Arts, Culture, Humanities",2,Performing Arts,4,Birmingham,AL,35201,92.2,4,,89,3,"Arts, Culture and Humanities",Educational Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).","Organization that normally receives no more than one-third of its support from gross investment income and unrelated business income and at the same time more than one-third of its support from contributions, fees, and gross receipts related to exempt purposes.  509(a)(2)",Performing Arts Organizations,Contributions are deductible,501(c)(3),21912806.0,8918348.0,99.19,4
12,"Evangelism Missions Inc. (EMI) is a fundamental Baptist missions ministry. EMI's purpose is to win souls, establish churches, and train preachers for those indigenous churches. EMI missionaries come from fundamental Baptist churches and must maintain membership in a local Baptist church. EMI assists the local church in getting their missionaries to the field. Support for those missionaries comes from churches, businesses, and individuals. We exist for the purpose of assisting the local Independent Baptist Church in carrying the message of salvation through the free grace of Jesus Christ.",A fundamental Baptist mission agency,Evangelism Missions Inc.,Religion,9,Religious Activities,26,Thorsby,AL,35171,58.73,1,,43,0,,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),,Contributions are deductible,501(c)(3),300544.0,467510.0,87.5,3
13,"Opened in 1955, the Birmingham Zoo is Alabama's most popular attraction, drawing an estimated 600,000 visitors annually. Approximately 1,000 animals of 250 species call the 122-acre Birmingham Zoo home, including sea lions, African elephants and other endangered species from six continents. The mission of the Birmingham Zoo is to inspire passion to conserve the natural world through emphasizing conservation, education, scientific study, and recreation in all aspects of the Birmingham Zoo's exhibits, programs, facilities, and activities. The Zoo's vision is to be the leading zoological and botanical conservation, education and scientific study resource within the U.S. and the family attraction of choice throughout the entire region.",Inspiring Passion to Conserve the Natural World,Birmingham Zoo,Animals,1,Zoos and Aquariums,32,Birmingham,AL,35223,96.18,4,,100,4,Animal-Related,Educational Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Zoo, Zoological Society",Contributions are deductible,501(c)(3),43045841.0,12490231.0,94.61,4
14,"People for Care and Learning (PCL) was founded in 2002 as a humanitarian organization created to provide care and learning opportunities around the world. They are dedicated to serving the poor by helping children, widows and their communities worldwide reach their full potential by giving the poor a working chance. PCL seeks to serve the poor by providing opportunities for impoverished people to transform their lives through schools, feeding centers, orphan and widow care, vocational training, leadership development, basic business education and micro-enterprise opportunities. For over a decade, PCL has been moving into neighborhoods throughout Southeast Asia and the United States inspiring hope, extending justice and giving the poor a working chance.",Giving the poor a working chance toward a brighter future,People for Care and Learning,International,7,Development and Relief Services,20,Mobile,AL,36618,78.71,2,,70,2,"Public Safety, Disaster Preparedness and Relief",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Disaster Preparedness and Relief Services,Contributions are deductible,501(c)(3),1582045.0,2594273.0,97.5,4
15,"Boy Scouts of America, Black Warrior Council provides youth with programs and activities that allow them to try new things, provide service to others, build self-confidence, and reinforce ethical standards. Scouting helps youth develop academic skills, self-confidence, ethics, leadership skills, and citizenship skills that influence their adult lives. Scouting promotes activities that lead to personal responsibility and high self-esteem. As a result, when hard decisions have to be made, peer pressure can be resisted and the right choices can be made.",Journey to Excellence,"Boy Scouts of America, Black Warrior Council",Human Services,6,"Youth Development, Shelter, and Crisis Services",16,Tuscaloosa,AL,35404,73.81,2,,81,3,Youth Development,Charitable Organization,Subordinate - the organization is a subordinate in a group ruling.,Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Boy Scouts of America,Contributions are deductible,501(c)(3),4704413.0,1677458.0,68.22,1
16,"Girl Scouts builds girls of courage, confidence & character, who make the world a better place!","Building girls of courage, confidence, and character",Girl Scouts of North-Central Alabama,Human Services,6,"Youth Development, Shelter, and Crisis Services",16,Birmingham,AL,35242,92.86,4,,96,4,Youth Development,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Girl Scouts of the U.S.A.,Contributions are deductible,501(c)(3),12647844.0,6805292.0,90.73,4
17,"Organized in 1923, United Way of Central Alabama is committed to increasing the organized capacity of people to care for one another and to improve their community. Our United Way makes funding decisions based on local priorities. United Way supports agencies and programs that work in this community to strengthen families and individuals. Our focus areas are helping children, youth and families; promoting health and rehabilitation; providing for basic needs and emergencies; and providing counseling and mental health services.",Live United,United Way of Central Alabama,Community Development,10,United Ways,42,Birmingham,AL,35232,98.23,4,,100,4,"Philanthropy, Voluntarism and Grantmaking Foundations",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Fund Raising Organizations That Cross Categories,Contributions are deductible,501(c)(3),105839009.0,93632958.0,97.5,4
18,"The mission of the Boys & Girls Clubs of Central Alabama is to enable and motivate all youth within a safe environment to reach their full potential as productive, caring, and responsible citizens according to Judeo-Christian principles.",Great futures start here,Boys & Girls Clubs of Central Alabama,Human Services,6,"Youth Development, Shelter, and Crisis Services",16,Birmingham,AL,35215,100.0,4,,100,4,Youth Development,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Boys and Girls Clubs (Combined),Contributions are deductible,501(c)(3),9211145.0,3482706.0,100.0,4
19,"Boy Scouts of America, Greater Alabama Council strives to provide support to Boy Scouts in Greater Alabama as they participate in the programs and activities of the Boy Scouts of America. The mission of the Boy Scouts is to serve others by helping to instill values in young people and, in other ways, to prepare them to make ethical choices over their lifetime in achieving their full potential. Scouting makes a direct and positive impact on the community by teaching positive values and leadership skills to youth. Chartered by the National Council, our local organization has been assigned responsibility for twenty-two counties in North Alabama. Under our charter we are responsible for making the benefits of the movement available to the youth of the territory served by the council.",Teaching values and leadership skills to youth,"Boy Scouts of America, Greater Alabama Council",Human Services,6,"Youth Development, Shelter, and Crisis Services",16,Birmingham,AL,35242,84.37,3,,85,3,,Charitable Organization,Subordinate - the organization is a subordinate in a group ruling.,Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),,Contributions are deductible,501(c)(3),11228573.0,5923729.0,83.77,3
20,"Tukabatchee area council, Boy Scouts of America promotes and administers educational and recreational programs for young boys and young adults to prepare them to make ethical choices over their lifetime and achieve their full potential using methods which are now in common use by the Boy Scouts of America.","Providing effective character, citizenship, and personal fitness for youth.",Tukabatchee Area Council Boy Scouts of America,Human Services,6,"Youth Development, Shelter, and Crisis Services",16,Montgomery,AL,36111,72.96,2,,66,1,,Charitable Organization,Subordinate - the organization is a subordinate in a group ruling.,Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),,Contributions are deductible,501(c)(3),5323186.0,2311648.0,82.5,3
21,"The United Methodist Children's Home (UMCH) has helped transform the lives of thousands of hurting children since 1890. In response to God's Word, we embrace and nurture vulnerable children and families by providing homes, healing, and hope. Our ministry offers services across Alabama and Northwest Florida through group homes, foster care and adoption programs, family preservation services, transitional living programs, scholarship homes, school readiness programs, and homes for mothers and their children. UMCH is accredited by the Council on Accreditation.<br><br>UMCH provides services to vulnerable children who cannot live with their biological parents due to possible neglect, abuse or abandonment. With children and youth as our first priority, we also help broken families address harmful behavior, giving them a second chance at becoming whole again. ","Embracing all God's children . . .one child, one family at a time",United Methodist Children's Home,Human Services,6,Children's and Family Services,17,Montgomery,AL,36106,90.85,4,,100,4,Human Services - Multipurpose and Other,Religious Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Residential, Custodial Care",Contributions are deductible,501(c)(3),42004878.0,44923735.0,87.07,3
22,"Founded in 1868, Presbyterian Home for Children (PHFC) is one of few organizations in the state caring for Alabama's at-risk and homeless children, families and young adults while also providing in-home care to families in crisis. PHFC is proud to celebrate over 150 years of operation. PHFC is headquartered on an 85-acre campus in Talladega, Alabama, and operates a satellite office in Birmingham.<br><br>Presbyterian Home for Children's mission is to be an agent of God's love called to transform the lives of children and their families. PHFC serves approximately 225 unduplicated children and women each year. One hundred percent (100%) of the Home's residents are low-income, and many of them come to PHFC seeking help due to homelessness and/or because they are fleeing situations of violence or extreme neglect. PHFC is available to serve individuals and families who need assistance from every county of Alabama.","Raising hope, growing confidence and nurturing faith for since 1868",Presbyterian Home for Children,Human Services,6,"Youth Development, Shelter, and Crisis Services",16,Talladega,AL,35160,87.16,3,,85,3,,Religious Organization,"Central - the organization is a central type organization (no group exemption) of a National, Regional or Geographic grouping of organizations.",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),,Contributions are deductible,501(c)(3),15004036.0,8387017.0,89.78,3
23,"United Ability provides innovative services connecting people with disabilities to their communities and empowering individuals to live full and meaningful lives. Founded in 1948 by individuals who cared about the quality of life for people with cerebral palsy, United Ability provides services and programs for infants, children, and adults with all types of disabilities and their families. We address physical and health needs, encourage their educational development, and offer opportunities for true integration into the community.",Empowering People Living with Disabilities ,United Ability,Health,5,"Diseases, Disorders, and Disciplines",13,Birmingham,AL,35211,96.15,4,,96,4,,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),,Contributions are deductible,501(c)(3),42699048.0,12262257.0,96.31,4
24,"Founded in 1946, the United Way of West Alabama (UWWA) seeks to determine the needs of the West Alabama community and through the support of community volunteers and donors works to solve those needs for positive changes within the West Alabama community. United Way creates opportunities by focusing on the building blocks for a good life: Education, Income/Financial Stability, & Health. United Way is helping children and youth achieve their potential through education, helping families become financially stable and independent, improving people's health, and responding to emergency and disaster needs.",Live United,United Way of West Alabama,Community Development,10,United Ways,42,Tuscaloosa,AL,35401,87.78,3,,85,3,"Philanthropy, Voluntarism and Grantmaking Foundations",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Fund Raising Organizations That Cross Categories,Contributions are deductible,501(c)(3),5280948.0,4008084.0,91.43,4
25,"The mission of the River Region United Way (RRUW) is to advance the common good by uniting volunteers, donors and community partners to improve the quality of life in the River Region.<br><br>Serving communities in the Montgomery area since 1923 and originally known as The Charity and Welfare Council and later as The Community Chest, the River Region United Way has partnered with individuals, companies, organizations, foundations and area health and human service providers to address the needs in our communities. Our focus is on education, income and health -- the building blocks for a good quality of life.<br><br>RRUW serves Autauga, Elmore, Lowndes, Macon and Montgomery counties in Alabama and impacts the lives of nearly 140,000 people every year through the programs and services of its 40+ affiliate agencies. Along with its affiliate agencies, RRUW provides over $100 million in goods, services and economic impact to the communities we serve.<br><br>To learn more, visit www.RiverRegionUnitedWay.org.<br>",GIVE. ADVOCATE. VOLUNTEER. LIVE UNITED.,River Region United Way,Community Development,10,United Ways,42,Montgomery,AL,36106,89.27,3,,100,4,"Philanthropy, Voluntarism and Grantmaking Foundations",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Fund Raising Organizations That Cross Categories,Contributions are deductible,501(c)(3),7731778.0,3245865.0,84.83,3
26,"Since opening our doors in 1988, Covenant House Alaska (CHA) has served thousands of homeless and runaway youth in Alaska. Through the years, we have expanded our services and adapted our programs to meet the changing needs of the community. However, our mission to serve the suffering children of the streets has remained the same. At CHA, our sole purpose is to be available to help youth in crisis 24 hours a day, seven days a week, 365 days a year. Through our three main programs, we meet the basic needs of youth in crisis, while also providing them with the support to become healthy, self-sufficient, contributing members of our community.","Providing support and assistance to homeless, runaway and at-risk youth",Covenant House Alaska,Human Services,6,"Youth Development, Shelter, and Crisis Services",16,Anchorage,AK,99501,89.86,3,,100,4,Human Services - Multipurpose and Other,Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Children's, Youth Services",Contributions are deductible,501(c)(3),21051123.0,8282248.0,85.66,3
27,"Fairbanks Rescue Mission exists to serve Christ and our community by addressing the physical, spiritual, mental, emotional, and social well-being of all those whom God brings to our doors. We serve homeless men, women, and children from not only the city of Fairbanks but also the entire Fairbanks North Star Borough community and the outlying rural areas. The Mission operates the only overnight men's and women's emergency shelter in Interior Alaska. We play a key role in the life of our community. Lives are changed at the Fairbanks Rescue Mission every day. We try to meet both the spiritual and physical needs in helping needs towards restoration -- to a correct relationship with God and a productive relationship within our society. Long-term transformation is our goal.",Making a difference one life at a time,Fairbanks Rescue Mission,Human Services,6,Rescue Missions,44,Fairbanks,AK,99701,78.39,2,,70,2,"Housing, Shelter",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),"Homeless, Temporary Shelter For",Contributions are deductible,501(c)(3),5680575.0,2274799.0,94.21,4
28,"United Way of Anchorage (UWA) has been advancing the common good for more than 60 years. UWA is the leader in mobilizing the resources of individuals, companies, government and labor to achieve positive and lasting change in the lives of the people in our community. United Way of Anchorage fights for the health, education and financial stability of every person in our community. Education - ensuring that all children are ready for kindergarten, stay on track and graduate prepared for work, life and continued education; Income - empowering families to save for the future, build assets, and increase their income levels; and Health - Connecting people to affordable healthcare options and supporting healthy life choices is a community responsibility; and basic needs support - ensuring that all Anchorage families are warm, housed and fed.",United we fight. United we win.,United Way of Anchorage,Community Development,10,United Ways,42,Anchorage,AK,99501,83.21,3,,100,4,"Philanthropy, Voluntarism and Grantmaking Foundations",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).",Organization which receives a substantial part of its support from a governmental unit or the general public   170(b)(1)(A)(vi),Fund Raising Organizations That Cross Categories,Contributions are deductible,501(c)(3),10921912.0,8276299.0,76.26,2
29,"Missionary Aviation Repair Center (MARC) supports rural missionaries, churches, and bible camps with aviation transportation services, training, and quality airplane maintenance. We have provided a lifeline of hope to these villages, strengthened the ministry of Christians, and expanded the reach of the Gospel across the Alaskan frontier since 1964. MARC has a fleet of airplanes that fly throughout western Alaska and even across the Bering Sea into eastern Russia. In 2012, our combined ministry team flew 2,521 passengers and 298,677 pounds of cargo, making 841 stops in 82 different communities in direct support of 71 churches, missionaries, and Christian outreach organizations, making a real difference in these communities of 81,000 people.",Giving Wings to Alaskan Missions,Missionary Aviation Repair Center,Religion,9,Religious Activities,26,Soldotna,AK,99669,73.31,2,,66,1,"Religion-Related, Spiritual Development",Charitable Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).","Organization that normally receives no more than one-third of its support from gross investment income and unrelated business income and at the same time more than one-third of its support from contributions, fees, and gross receipts related to exempt purposes.  509(a)(2)",Christian,Contributions are deductible,501(c)(3),1585968.0,2143193.0,83.62,3
30,"Catholic Social Services (CSS) was incorporated in 1966 with the mission to serve the poor, strengthen individuals and families and advocate for a just community. CSS operates ten multi-faceted programs including two emergency shelters, two homes for teens, a food pantry, supportive housing, an adoption and pregnancy support program, services for individuals with disabilities, and a refugee resettlement and immigration program. CSS is the social service arm of the Archdiocese of Anchorage serving, engaging and employing people of all faiths. During fiscal year 2009, 1,118 volunteers provided 22,778 hours of service to help your neighbors in need.",Providing help. Creating hope.,Catholic Social Services of Anchorage,Human Services,6,Social Services,29,Anchorage,AK,99508,93.96,4,,96,4,Human Services - Multipurpose and Other,Charitable Organization,Subordinate - the organization is a subordinate in a group ruling.,Church 170(b)(1)(A)(i),Human Service Organizations - Multipurpose,Contributions are deductible,501(c)(3),24318207.0,16834523.0,92.46,4
31,"The Iditarod Trail Committee works to promote and preserve the historic Iditarod Trail, most notably through the annual staging of a sled dog race from Anchorage to Nome, Alaska. The Iditarod Trail, now a National Historic Trail, had its beginnings as a mail and supply route, and later became a life saving highway for epidemic-stricken Nome. The Iditarod covers over 1,150 miles of terrain, and the Sled Dog Race has been called the ""Last Great Race on Earth,"" winning worldwide acclaim and interest. The race pits man and animal against nature, against wild Alaska at her best and as each mile is covered, a tribute to Alaska's past is issued. The Iditarod is a tie to - a commemoration of - that colorful past.",Promoting and preserving the historic Iditarod Trail,Iditarod Trail Committee,Environment,4,Environmental Protection and Conservation,11,Wasilla,AK,99654,72.34,2,,89,3,,Educational Organization,"Independent - the organization is an independent organization or an independent auxiliary (i.e., not affiliated with a National, Regional, or Geographic grouping of organizations).","Organization that normally receives no more than one-third of its support from gross investment income and unrelated business income and at the same time more than one-third of its support from contributions, fees, and gross receipts related to exempt purposes.  509(a)(2)",,Contributions are deductible,501(c)(3),567807.0,4856394.0,62.47,1
