,0,1,2,3,4
42,United Way of the Tanana Valley,89,3,67.82,1
43,Trustees for Alaska,93,4,83.39,3
44,Friends of Public Radio Arizona,88,3,97.5,4
45,Ryan House,100,4,85.91,3
46,Esperança,100,4,87.5,3
47,Arizona Animal Welfare League & SPCA,92,4,97.01,4
48,Arizona Opera,89,3,90.19,4
49,100 Club of Arizona,100,4,85.95,3
50,St. Mary's Food Bank Alliance,97,4,91.43,4
51,Langham Partnership,97,4,73.48,2
52,Camp Soaring Eagle Foundation,40,0,52.12,0
53,Homeless Youth Connection,96,4,97.5,4
54,Center for Biological Diversity ,97,4,100.0,4
55,Southwest Autism Research & Resource Center,100,4,86.57,3
56,Make Way for Books,93,4,97.35,4
57,Family Life Broadcasting System,97,4,92.49,4
58,Feeding America's Hungry Children,81,3,82.5,3
59,Hope 4 Kids International,100,4,95.0,4
60,Desert Foothills Library Association,88,3,94.35,4
61,Community Food Bank of Southern Arizona,100,4,90.0,4
62,TheatreSquared,77,2,97.24,4
63,Mid-America Science Museum,96,4,91.06,4
64,Ron Hutchcraft Ministries,93,4,86.92,3
65,IHCF African Christian Hospitals,81,3,91.6,4
66,"Boy Scouts of America, Quapaw Area Council",85,3,81.15,3
67,Heifer International,97,4,76.98,2
68,Food Bank of North Central Arkansas,92,4,76.08,2
69,Health Talents International,88,3,92.11,4
70,"Boy Scouts of America, Westark Area Council",85,3,78.99,2
71,United Way of Southeast Arkansas,58,1,87.28,3
72,Donald W. Reynolds Boys & Girls Club,81,3,86.21,3
73,Camp Aldersgate,81,3,75.82,2
74,Arkansas Baptist Children's Homes and Family Ministries,93,4,90.76,4
75,United Way of Northwest Arkansas,96,4,82.5,3
76,United Way of Fort Smith Area,85,3,92.08,4
77,"Union Rescue Mission, Little Rock",78,2,97.13,4
78,"Children's Homes, Inc.",85,3,79.5,2
79,Museum of Discovery,85,3,80.43,3
80,Lifeword Media Ministries,58,1,95.55,4
81,Humane Society of Pulaski County,100,4,90.43,4
82,Mays Mission for the Handicapped,75,2,77.77,2
83,Arkansas Sheriffs' Youth Ranches,93,4,77.23,2
84,Arkansas Repertory Theatre Company,89,3,68.76,1
85,Ronald McDonald House Charities of Arkansas,92,4,93.85,4
86,Razorback Foundation,89,3,97.58,4
87,Arkansas Foodbank,92,4,97.28,4
88,Student Mobilization,78,2,92.5,4
89,"Our House, Arkansas",100,4,99.74,4
90,Arkansas Special Olympics,93,4,91.23,4
91,Northwest Arkansas Food Bank,77,2,95.0,4
92,Arkansas Single Parent Scholarship Fund Program,89,3,92.16,4
93,Truth for Today World Mission School,74,2,100.0,4
94,San Diego River Park Foundation,97,4,97.47,4
95,StandWithUs,89,3,93.8,4
96,The Akshaya Patra Foundation USA,96,4,95.0,4
97,The San Francisco Foundation,96,4,99.14,4
98,Alliance for California Traditional Arts,89,3,84.75,3
99,Out & Equal Workplace Advocates,96,4,94.05,4
100,City of Hope,94,4,91.01,4
101,Family Independence Initiative,84,3,93.57,4
102,Urgent Action Fund for Women's Human Rights ,96,4,99.91,4
103,Electronic Frontier Foundation,100,4,91.74,4
104,HOPE worldwide,96,4,89.48,3
105,Creative Commons,70,2,95.3,4
106,ENLACE USA,74,2,81.92,3
107,826 Valencia,96,4,95.47,4
108,Transgender Law Center,100,4,88.97,3
109,Return to Freedom,85,3,82.24,3
110,KickStart International,96,4,77.5,2
111,Coalition to Abolish Slavery and Trafficking (Cast),96,4,87.68,3
112,National Center for Science Education,92,4,77.04,2
113,Castleton Ranch Horse Rescue Inc.,82,3,78.72,2
114,Fogarty Institute for Innovation,89,3,72.24,2
115,Food First,85,3,93.82,4
116,Centre Pompidou Foundation,85,3,92.73,4
117,Covenant House California,100,4,95.0,4
118,American Friends of Neve Shalom/Wahat al-Salam,100,4,90.89,4
119,Robert Toigo Foundation,97,4,93.31,4
120,Just Detention International,100,4,95.0,4
121,ZOE International,85,3,94.64,4
122,Teddy Bear Cancer Foundation,100,4,78.64,2
123,Will Rogers Motion Picture Pioneers Foundation,100,4,70.28,2
124,Wikimedia Foundation,100,4,97.37,4
125,Warrior Foundation Freedom Station,100,4,96.35,4
126,Mozilla Foundation,96,4,96.04,4
127,Operation Gratitude,100,4,100.0,4
128,ECOLIFE Conservation,88,3,75.48,2
129,Kokua Hawai?i Foundation,54,0,96.61,4
130,Campaign for College Opportunity,81,3,97.5,4
131,One Heart Worldwide,89,3,95.0,4
132,"TGR Foundation, A Tiger Woods Charity",93,4,90.15,4
133,Cambodian Children's Fund,100,4,92.17,4
134,Soil Born Farms Urban Agriculture & Education Project,74,2,83.77,3
135,Global Solutions for Infectious Diseases,47,0,81.35,3
136,St. Baldrick's Foundation,100,4,65.42,1
137,ShareWell,93,4,72.22,2
138,Voice of San Diego,77,2,94.27,4
139,Los Angeles Ballet,81,3,70.47,2
140,Generation Rescue,52,0,69.11,1
141,Tipping Point Community,92,4,97.5,4
142,Institute for Middle East Understanding,81,3,99.96,4
143,Lazarex Cancer Foundation,92,4,90.74,4
144,Turtle Conservancy,88,3,93.72,4
145,Mujeres Unidas Y Activas,85,3,99.42,4
146,Support The Enlisted Project (STEP),100,4,89.6,3
147,Courage Worldwide,74,2,78.11,2
148,Jewish World Watch,100,4,86.2,3
149,Asylum Access,96,4,84.5,3
150,WildAid,100,4,100.0,4
151,Good Neighbors USA,89,3,95.0,4
152,Jacobs & Cushman San Diego Food Bank,96,4,97.5,4
153,GO2 Foundation for Lung Cancer,100,4,90.0,4
154,LA Promise Fund,97,4,91.41,4
155,Global Heritage Fund,100,4,64.54,1
156,Living Goods,89,3,95.0,4
157,Silicon Valley Education Foundation,100,4,91.11,4
158,Foundation for Animal Care and Education,65,1,84.67,3
159,Genders & Sexualities Alliance Network,89,3,90.34,4
160,Just in Time for Foster Youth,100,4,80.54,3
161,Not For Sale,92,4,95.23,4
162,Abandoned Children's Fund,63,1,80.0,3
163,Sentinels of Freedom Scholarship Foundation,89,3,94.42,4
164,Messianic Jewish Bible Society,40,0,92.11,4
165,No Barriers USA,85,3,81.1,3
166,United States Olympic Committee,92,4,93.45,4
167,American Alpine Club,96,4,75.17,2
168,Environment America Research and Policy Center,85,3,72.31,2
169,US Bobsled and Skeleton Federation,96,4,90.93,4
170,Nurse-Family Partnership,93,4,94.4,4
171,The Cable Center,89,3,79.31,2
172,Davis Phinney Foundation,100,4,85.04,3
173,Book Trust,100,4,86.78,3
174,SECOR,66,1,85.0,3
175,PeopleForBikes,66,1,100.0,4
176,Roundup River Ranch,100,4,82.38,3
177,The Phoenix,86,3,86.17,3
178,Animal Friends Alliance,100,4,84.99,3
179,Denver Scholarship Foundation,92,4,88.48,3
180,Vail Veterans Foundation,89,3,97.71,4
181,Conservation Lands Foundation,96,4,99.57,4
182,Association of Waldorf Schools of North America,89,3,85.04,3
183,Green Corps,85,3,78.75,2
184,Development Associates International,100,4,80.0,3
185,High Country News,96,4,67.57,1
186,The Action Center,100,4,80.0,3
187,Aspen Center for Environmental Studies,93,4,86.22,3
188,United Way of Southwest Colorado,96,4,92.32,4
189,Big Brothers Big Sisters of Colorado,89,3,72.1,2
190,Anderson Ranch Arts Center,96,4,78.48,2
191,WILD Foundation,96,4,92.44,4
192,Pro Athletes Outreach,59,1,83.28,3
193,National Mill Dog Rescue,100,4,93.84,4
194,Project Sanctuary,96,4,92.5,4
195,Colorado Education Initiative,89,3,85.0,3
196,LiveWell Colorado,86,3,81.32,3
197,Alliance for Climate Education,96,4,72.85,2
198,Optometry Giving Sight,62,1,72.77,2
199,FORGE,97,4,77.5,2
200,Family Resource Center Association,96,4,82.42,3
201,Children's HopeChest,100,4,84.18,3
202,World Orphans,96,4,87.03,3
203,Western Conservation Foundation,67,1,92.5,4
204,Build Change,92,4,78.82,2
205,Youth for Christ USA,100,4,82.42,3
206,Compassion International,96,4,84.59,3
207,Bibles For The World,93,4,82.54,3
208,National Wheelchair Basketball Association,96,4,67.42,1
209,Paraclete Mission Group,100,4,93.17,4
210,God's Littlest Angels,96,4,80.21,3
211,IDEAS,82,3,60.07,1
212,Officers' Christian Fellowship,92,4,93.97,4
213,The Alliance Center,89,3,81.81,3
214,Adventure Unlimited,90,4,86.7,3
215,Healing Waters International,93,4,88.71,3
216,The Food Bank of Lower Fairfield County,100,4,82.5,3
217,Coast Guard Foundation,97,4,76.84,2
218,Ronald McDonald Charities of Connecticut and Western Massachusetts Inc,96,4,62.08,1
219,The ALS Association Connecticut Chapter,100,4,86.98,3
220,Planned Parenthood of Southern New England,89,3,87.3,3
221,Mattatuck Museum,100,4,87.1,3
222,Hartford Symphony Orchestra,89,3,80.78,3
223,United Way of Western Connecticut,100,4,90.72,4
224,The Greenwich United Way,100,4,91.87,4
225,"Catholic Charities, Diocese of Norwich",97,4,71.92,2
226,Fairfield Museum and History Center,100,4,91.58,4
227,The United Way of Greater Waterbury,100,4,90.0,4
228,United Way of Central and Northeastern Connecticut,100,4,78.97,2
229,Boys & Girls Club of Greenwich,100,4,89.53,3
230,"The Federation, Jewish Communities of Western Connecticut",78,2,87.87,3
231,United Way of Greater New Haven,100,4,85.72,3
232,"Boy Scouts of America, Connecticut Yankee Council",92,4,80.0,3
233,Boys & Girls Club of Stamford,96,4,90.72,4
234,Yale-China Association,89,3,96.3,4
235,Jewish Federation of Greater New Haven,93,4,84.52,3
236,Wadsworth Atheneum,89,3,92.85,4
237,Mystic Seaport Museum,86,3,79.43,2
238,Connecticut Association for Human Services,96,4,75.0,2
239,United Way of West Central Connecticut,96,4,80.54,3
240,Connecticut Audubon Society,100,4,99.14,4
241,Jewish Federation of Greater Hartford,96,4,87.98,3
242,Channel 3 Kids Camp,74,2,68.15,1
243,The Bushnell,89,3,86.81,3
244,Wakeman Boys & Girls Club,93,4,85.43,3
245,Middlesex United Way,93,4,81.86,3
246,"Junior Achievement of Southwest New England, Inc.",89,3,81.23,3
247,Connecticut Humane Society,100,4,76.69,2
248,The Mark Twain House & Museum,89,3,71.47,2
249,Ridgefield Library Association,81,3,80.18,3
250,Hartford Foundation for Public Giving,100,4,83.81,3
251,Save the Children,97,4,88.83,3
252,Earthplace,100,4,75.04,2
253,Connecticut Public Broadcasting,90,4,88.11,3
254,United Way of Southeastern Connecticut,93,4,93.85,4
255,Connecticut Landmarks,89,3,97.18,4
256,Hartford Stage,89,3,94.0,4
257,"Christian Community Action, Connecticut",86,3,85.64,3
258,Valley United Way,85,3,79.12,2
259,Nutmeg Big Brothers Big Sisters,100,4,89.25,3
260,The Carver Foundation of Norwalk,100,4,92.5,4
261,United Way of Coastal Fairfield County,96,4,81.61,3
262,"FOCUS (Fellowship of Christians in Universities and Schools, Inc.)",100,4,98.31,4
263,Denison Pequotsepos Nature Center,77,2,66.38,1
264,"United Jewish Federation of Greater Stamford, New Canaan and Darien",89,3,69.88,1
265,Our Piece of the Pie,96,4,87.5,3
266,Connecticut Legal Services,96,4,78.38,2
267,Women's Center of Greater Danbury,85,3,86.06,3
268,"High Hopes Therapeutic Riding, Inc.",100,4,79.89,2
269,Save the Sound,100,4,88.91,3
270,Federation for Jewish Philanthropy of Upper Fairfield County,100,4,92.2,4
271,Americares,97,4,94.09,4
272,Kids In Crisis,89,3,84.28,3
273,Life-Study Fellowship,36,0,70.0,2
274,Riverfront Recapture,96,4,86.0,3
275,Stamford Center for the Arts,89,3,92.13,4
276,Warner Theatre,85,3,87.14,3
277,The Cornelia de Lange Syndrome Foundation,96,4,97.5,4
278,Connecticut Food Bank,97,4,87.1,3
279,Community Foundation of Eastern Connecticut,96,4,96.13,4
280,Jewish Family Service of Stamford,100,4,76.7,2
281,Haitian Health Foundation,100,4,100.0,4
282,Pacific House,96,4,87.72,3
283,The Hole in the Wall Gang Fund,96,4,83.52,3
284,Habitat for Humanity of New Haven Inc,100,4,85.93,3
285,Habitat for Humanity of Southeastern Connecticut Inc,100,4,92.58,4
286,Connecticut Cancer Foundation,100,4,77.96,2
287,Hartford Area Habitat for Humanity,100,4,87.5,3
288,Operation Fuel,97,4,87.5,3
289,SoundWaters,96,4,83.49,3
290,Gifts of Love,89,3,83.08,3
291,The Connecticut Forum,89,3,70.23,2
292,United States Coast Guard Academy Alumni Association,94,4,85.97,3
293,Bridgeport Rescue Mission,100,4,72.1,2
294,New Britain Museum of American Art,89,3,85.65,3
295,Person-to-Person,100,4,86.73,3
296,Connecticut Voices for Children,93,4,85.75,3
297,"ECAD, Educated Canines Assisting with Disabilities",96,4,87.28,3
298,REACH Prep,93,4,100.0,4
299,International Festival of Arts & Ideas,89,3,90.24,4
300,Community Crusade for Children,56,1,74.71,2
301,Breast Cancer Alliance,96,4,89.82,3
302,Horizons National,100,4,91.07,4
303,Community Foundation of Middlesex County,89,3,65.95,1
304,The Multiple Myeloma Research Foundation,100,4,94.7,4
305,Mill River Park Collaborative,89,3,92.73,4
306,First Tee of Connecticut,74,2,78.08,2
307,All Our Kin,96,4,91.47,4
308,CAPA New Haven,85,3,95.27,4
309,Greenwich Library,85,3,90.8,4
310,Boys & Girls Clubs of Hartford,88,3,85.55,3
311,Connecticut Historical Society,93,4,75.7,2
312,Greenwich Historical Society,96,4,89.62,3
313,Regional YMCA of Western Connecticut,89,3,76.45,2
314,Fidelco Guide Dog Foundation,96,4,73.75,2
315,Florence Griswold Museum,89,3,78.84,2
316,Urban League of Greater Hartford,74,2,78.22,2
317,UJA Federation of Greenwich,89,3,80.84,3
318,Neighbor to Neighbor,100,4,98.75,4
319,Long Wharf Theatre,93,4,75.12,2
320,Stamford Symphony Orchestra,85,3,86.33,3
321,Keep America Beautiful,92,4,83.38,3
322,National Rowing Foundation,89,3,83.14,3
323,HonorBound Foundation,89,3,0.0,0
324,National Organization for Rare Disorders,100,4,100.0,4
325,Friends of Animals,100,4,85.09,3
326,Intercollegiate Studies Institute,96,4,94.04,4
327,Special Olympics Delaware,100,4,80.91,3
328,Serviam Girls Academy,73,2,67.43,1
329,Jewish Federation of Delaware,100,4,95.47,4
330,"Boy Scouts of America, Del-Mar-VA Council",85,3,85.78,3
331,Delaware Art Museum,93,4,84.95,3
332,Boys & Girls Clubs of Delaware,89,3,88.19,3
333,Hagley Museum and Library,93,4,91.05,4
334,Sunday Breakfast Mission,86,3,51.43,0
335,United Way of Delaware,100,4,79.34,2
336,Junior Achievement of Delaware,89,3,73.9,2
337,Delaware Humane Association,96,4,89.23,3
338,Delaware Museum of Natural History,97,4,88.59,3
339,The Grand Opera House,81,3,86.95,3
340,Ministry of Caring,97,4,88.08,3
341,Food Bank of Delaware,96,4,88.02,3
342,Tri-State Bird Rescue & Research,85,3,82.8,3
343,Habitat for Humanity of New Castle County Inc,100,4,87.5,3
344,Ronald McDonald House of Delaware,96,4,83.13,3
345,Interfaith Community Housing of Delaware,82,3,92.5,4
346,Reading Assist Institute,89,3,92.5,4
347,Faithful Friends Animal Society,88,3,92.41,4
348,The Delaware Symphony Orchestra,96,4,82.2,3
349,Delaware Nature Society,89,3,97.92,4
350,Council of Independent Colleges,89,3,86.83,3
351,Rock the Vote,66,1,87.5,3
352,Polaris,100,4,84.5,3
353,Citizens for Responsibility and Ethics in Washington,93,4,85.4,3
354,Educando by Worldfund,100,4,87.65,3
355,Salzburg Global Seminar,92,4,68.81,1
356,Institute on Taxation and Economic Policy,93,4,99.82,4
357,Center for Arms Control and Non-Proliferation,93,4,91.4,4
358,Families USA Foundation,89,3,73.44,2
359,Land Trust Alliance,96,4,80.74,3
360,WAND Education Fund,96,4,62.27,1
361,SADD - Students Against Destructive Decisions,96,4,72.42,2
362,EarthRights International,100,4,99.54,4
363,The Campaign Legal Center,100,4,87.41,3
364,Theodore Roosevelt Conservation Partnership,100,4,89.08,3
365,Sabin Vaccine Institute,100,4,89.17,3
366,Partnership for Public Service,93,4,87.96,3
367,JASS (Just Associates),89,3,86.35,3
368,United Palestinian Appeal,100,4,92.5,4
369,International Center for Journalists,100,4,93.44,4
370,American Psychiatric Association Foundation,93,4,80.31,3
371,Carnegie Endowment for International Peace,96,4,89.59,3
372,EngenderHealth,96,4,70.7,2
373,YWCA USA,89,3,94.52,4
374,UNCF,92,4,82.5,3
375,National Council of Jewish Women,93,4,72.14,2
376,National Immigration Forum,92,4,95.86,4
377,NAFSA: Association of International Educators,96,4,74.35,2
378,Hudson Institute,100,4,95.72,4
379,Paralyzed Veterans of America,92,4,62.2,1
380,SIECUS,97,4,80.78,3
381,Robert F. Kennedy Human Rights,96,4,74.26,2
382,Action on Smoking and Health,100,4,76.11,2
383,National Coalition Supporting Eurasian Jewry,70,2,82.02,3
384,National Center for Learning Disabilities,93,4,94.51,4
385,The Philanthropy Roundtable,89,3,87.5,3
386,Group of Thirty,81,3,88.01,3
387,People For the American Way Foundation,89,3,90.81,4
388,World Environment Center,93,4,71.27,2
389,InterAction,100,4,77.5,2
390,Americans for Peace Now,100,4,70.07,2
391,Covenant House Washington,100,4,92.38,4
392,Asian Americans Advancing Justice - AAJC Inc.,96,4,90.11,4
393,Earth Day Network,86,3,98.11,4
394,Council for a Strong America,96,4,89.45,3
395,World Food Program USA,97,4,79.6,2
396,Foundation for Defense of Democracies,85,3,94.51,4
397,Friends of the National World War II Memorial,74,2,70.0,2
398,Animal Welfare Institute,100,4,99.99,4
399,SOS Children's Villages-USA,97,4,66.01,1
400,The Fund for American Studies,96,4,81.34,3
401,Active Minds,96,4,88.66,3
402,Excelencia in Education,89,3,96.47,4
403,State Voices,92,4,97.5,4
404,Environmental Integrity Project,100,4,82.06,3
405,Voto Latino,89,3,83.0,3
406,Securing America's Future Energy (SAFE),77,2,67.62,1
407,White Ribbon Alliance,96,4,99.88,4
408,UNRWA USA National Committee,93,4,90.0,4
409,J Street Education Fund,92,4,82.5,3
410,Oil Change International,89,3,97.5,4
411,Institute for Free Speech,97,4,97.5,4
412,ecoAmerica,92,4,73.34,2
413,The Sunlight Foundation,85,3,80.24,3
414,Clarion Project,74,2,80.62,3
415,Out Teach,89,3,79.87,2
416,Initiative for Global Development,89,3,66.27,1
417,Center for a New American Security,100,4,87.83,3
418,The Sentry,89,3,100.0,4
419,The National Security Archive,97,4,90.0,4
420,Chorus America,89,3,72.78,2
421,Sons of Italy Foundation,89,3,77.2,2
422,CLASP,100,4,93.48,4
423,Leadership Conference Education Fund,89,3,99.74,4
424,The NEA Foundation,100,4,85.92,3
425,Physicians for Social Responsibility,100,4,88.22,3
426,SOME (So Others Might Eat),100,4,94.51,4
427,Africare,78,2,72.5,2
428,Center for Science in the Public Interest,97,4,76.24,2
429,National Partnership for Women & Families,89,3,81.64,3
430,ULI Foundation,96,4,95.29,4
431,Federation of American Scientists,89,3,94.97,4
432,Food Research & Action Center,89,3,88.72,3
433,Ocean Conservancy,96,4,92.57,4
434,Judge David L. Bazelon Center for Mental Health Law,89,3,79.67,2
435,National Academy of Engineering Fund,89,3,75.45,2
436,American Rivers,97,4,88.57,3
437,National Family Planning & Reproductive Health Association,96,4,80.54,3
438,The Heritage Foundation,97,4,75.98,2
439,Greater Washington Community Foundation,97,4,90.0,4
440,Sojourners,93,4,81.27,3
441,Institute for Local Self-Reliance,89,3,93.03,4
442,The Supreme Court Historical Society,81,3,83.66,3
443,Friends of the Earth,93,4,88.65,3
444,Cato Institute,96,4,88.85,3
445,Education Writers Association,89,3,90.5,4
446,National Wildlife Refuge Association,92,4,74.14,2
447,Center For Consumer Freedom,81,3,85.0,3
448,Institute for the Study of War,89,3,70.72,2
449,Barbara Bush Foundation for Family Literacy,89,3,79.37,2
450,Autistic Self Advocacy Network,81,3,89.1,3
451,American Wind Wildlife Institute,89,3,89.7,3
452,Center for the National Interest,89,3,72.0,2
453,Capital Area Food Bank Foundation,97,4,86.87,3
454,National Skills Coalition,85,3,100.0,4
455,GlobalGiving,100,4,97.5,4
456,Center for American Progress,89,3,91.42,4
457,"Friends of the Global Fight Against AIDS, Tuberculosis, and Malaria",89,3,89.55,3
458,Muslim Advocates,96,4,83.74,3
459,Center for Urban Renewal and Education,67,1,85.31,3
460,American Youth Policy Forum,89,3,97.96,4
461,Common Cause Education Fund,89,3,94.54,4
462,Venture Philanthropy Partners,89,3,87.5,3
463,National College Attainment Center,89,3,95.0,4
464,Center for Health and Gender Equity,89,3,100.0,4
465,BBYO,89,3,84.87,3
466,Food and Water Watch,97,4,78.36,2
467,Franciscan Foundation for the Holy Land,93,4,99.57,4
468,Sixth & I,81,3,86.29,3
469,The American Congress of Obstetricians and Gynecologists,89,3,79.92,2
470,Rail Passengers Association,92,4,95.44,4
471,Pax Christi USA,61,1,90.95,4
472,Urban Libraries Council,89,3,73.88,2
473,The Federalist Society for Law and Public Policy Studies,89,3,100.0,4
474,Jamestown Foundation,82,3,85.55,3
475,Association for Enterprise Opportunity,89,3,95.92,4
476,Americans United for Life,100,4,74.77,2
477,United States Soccer Foundation,100,4,87.37,3
478,League of American Bicyclists,97,4,73.94,2
479,The Israel Project,82,3,71.15,2
480,Women's Media Center,89,3,89.45,3
481,Association of Performing Arts Professionals,93,4,82.5,3
482,Thurgood Marshall College Fund,96,4,89.94,3
483,National Center for Transgender Equality,93,4,94.1,4
484,National Abortion Federation,92,4,97.5,4
485,Lupus Foundation of America,96,4,73.1,2
486,Center for Disaster Philanthropy,89,3,97.5,4
487,Global Foundation for Democracy and Development,66,1,72.82,2
488,Humanist Foundation,97,4,90.08,4
489,Media Matters for America,82,3,76.19,2
490,Bread for the World Institute,97,4,88.43,3
491,Prison Fellowship International,100,4,77.14,2
492,Oceana,100,4,94.24,4
493,The Atlantic Council of the United States,93,4,92.09,4
494,African Wildlife Foundation,97,4,78.95,2
495,Institute for Policy Studies,85,3,94.0,4
496,AARP Foundation,97,4,83.95,3
497,AAA Foundation for Traffic Safety,89,3,90.0,4
498,United States Capitol Historical Society,97,4,85.13,3
499,Lawyers' Committee for Civil Rights Under Law,100,4,96.32,4
500,PAI,100,4,99.22,4
501,Neighborhood Legal Services Program,85,3,85.0,3
502,Anera,100,4,80.0,3
503,Center for Community Change,93,4,87.3,3
504,Special Olympics,97,4,91.84,4
505,Children's Defense Fund,100,4,74.65,2
506,Choral Arts,89,3,83.95,3
507,Environmental Law Institute,100,4,91.72,4
508,NPR,96,4,77.87,2
509,Community Family Life Services,89,3,92.1,4
510,German Marshall Fund of the US,100,4,89.03,3
511,Ayuda,100,4,92.5,4
512,Reporters Committee for Freedom of the Press,92,4,91.31,4
513,Reading Is Fundamental,97,4,84.48,3
514,Jubilee Housing,88,3,78.6,2
515,N Street Village,100,4,97.5,4
516,Alliance for Justice,100,4,91.81,4
517,Iona Senior Services,92,4,99.85,4
518,Clean Water Fund,100,4,89.01,3
519,National Building Museum,90,4,80.13,3
520,"House of Ruth, Washington, D.C.",96,4,87.5,3
521,Woodrow Wilson International Center for Scholars,96,4,86.13,3
522,Washington Legal Foundation,67,1,86.28,3
523,The National Italian American Foundation,93,4,83.68,3
524,Truman Center for National Policy,74,2,59.43,1
525,National Women's Health Network,93,4,92.45,4
526,International Center for Research on Women,93,4,81.92,3
527,Alliance to Save Energy,96,4,61.34,1
528,National Park Foundation,100,4,74.09,2
529,National Low Income Housing Coalition,89,3,97.5,4
530,NARAL Pro-Choice America Foundation,89,3,95.0,4
531,U.S. Navy Memorial Foundation,90,4,60.45,1
532,ZERO TO THREE,89,3,97.5,4
533,Washington Bach Consort,77,2,83.32,3
534,Educational Fund to Stop Gun Violence,81,3,83.59,3
535,Whitman-Walker Health,89,3,79.38,2
536,National Taxpayers Union Foundation,89,3,96.78,4
537,"Ronald McDonald House Charities® of Greater Washington, DC",100,4,79.72,2
538,FAIR Federation for American Immigration Reform,97,4,99.0,4
539,Studio Theatre Inc.,89,3,88.8,3
540,Bread for the City,97,4,89.97,3
541,The Ellington Fund ,89,3,61.3,1
542,Catholics for Choice,93,4,90.0,4
543,Congressional Black Caucus Foundation,66,1,89.23,3
544,Ethics and Public Policy Center,89,3,88.13,3
545,Capital Area Food Bank,97,4,86.87,3
546,Advocates for Youth,93,4,87.96,3
547,Martha's Table,100,4,88.4,3
548,Farmworker Justice Fund Inc.,89,3,81.52,3
549,National Women's Law Center,100,4,99.68,4
550,Religious Coalition for Reproductive Choice,88,3,87.27,3
551,The Woodson Center,78,2,71.41,2
552,Refugees International,100,4,94.82,4
553,National Center for Public Policy Research,82,3,59.82,1
554,Peterson Institute for International Economics,92,4,81.88,3
555,March for Life,77,2,81.65,3
556,"Aga Khan Foundation, USA",97,4,94.68,4
557,Jewish Institute for National Security of America,81,3,95.62,4
558,Center on Budget and Policy Priorities,89,3,93.07,4
559,American Forest Foundation,100,4,94.91,4
560,National Museum of Women in the Arts,92,4,87.27,3
561,National Right to Life Educational Trust Fund,66,1,85.39,3
562,Gay Men's Chorus of Washington D.C.,92,4,73.28,2
563,Washington Office on Latin America,89,3,81.66,3
564,Dance/USA,89,3,87.76,3
565,FCNL Education Fund,97,4,71.57,2
566,Center for the Study of Social Policy,89,3,85.41,3
567,World Resources Institute,100,4,97.5,4
568,Friends of the National Arboretum,96,4,76.51,2
569,My Sister's Place,97,4,98.98,4
570,Public Citizen Foundation,96,4,90.01,4
571,Environmental and Energy Study Institute,100,4,92.84,4
572,National Defense University Foundation,77,2,75.38,2
573,Business Executives for National Security,100,4,92.59,4
574,Center for Responsive Politics,100,4,88.46,3
575,Brady,97,4,74.81,2
576,Capital Research Center,89,3,75.1,2
577,National Council on US-Arab Relations,90,4,92.27,4
578,The Equal Rights Center,92,4,72.44,2
579,National Alliance to End Homelessness,100,4,93.76,4
580,Calvary Women's Services,100,4,82.95,3
581,United States Holocaust Memorial Museum,96,4,86.17,3
582,American Institute for Contemporary German Studies,92,4,85.82,3
583,Miriam's Kitchen,100,4,85.0,3
584,Government Accountability Project,96,4,86.01,3
